Dimension,Power,Time,Optimization
All entries in matrix are NaN-like
50,10000,2.056383,Ofast
All entries in matrix are NaN-like
50,10000,2.071933,Ofast
50,100,0.026196,O3
50,100,0.026255,O3
50,100,0.025981,O3
50,100,0.026531,O3
50,100,0.026141,O3
50,100,0.026312,O3
50,100,0.025990,O3
50,100,0.026485,O3
50,100,0.026334,O3
50,100,0.026505,O3
50,100,0.026426,O3
50,100,0.026927,O3
50,100,0.026760,O3
50,100,0.026072,O3
50,100,0.026286,O3
50,100,0.026587,O3
50,100,0.026935,O3
50,100,0.026480,O3
50,100,0.026317,O3
50,100,0.026319,O3
50,100,0.025556,O3
50,100,0.026634,O3
50,100,0.026475,O3
50,100,0.026371,O3
50,100,0.026489,O3
50,100,0.026316,O3
50,100,0.026107,O3
50,100,0.025997,O3
50,100,0.026444,O3
50,100,0.026405,O3
50,200,0.051566,O3
50,200,0.051852,O3
50,200,0.051425,O3
50,200,0.051641,O3
50,200,0.051691,O3
50,200,0.051999,O3
50,200,0.051701,O3
50,200,0.052171,O3
50,200,0.052722,O3
50,200,0.052129,O3
50,200,0.052157,O3
50,200,0.052046,O3
50,200,0.051925,O3
50,200,0.051626,O3
50,200,0.052621,O3
50,200,0.051859,O3
50,200,0.052830,O3
50,200,0.051565,O3
50,200,0.052249,O3
50,200,0.052823,O3
50,200,0.052038,O3
50,200,0.052809,O3
50,200,0.052210,O3
50,200,0.052381,O3
50,200,0.052522,O3
50,200,0.053173,O3
50,200,0.051935,O3
50,200,0.052033,O3
50,200,0.051393,O3
50,200,0.052236,O3
50,300,0.077833,O3
50,300,0.078055,O3
50,300,0.078680,O3
50,300,0.077268,O3
50,300,0.077060,O3
50,300,0.077093,O3
50,300,0.077135,O3
50,300,0.077325,O3
50,300,0.078401,O3
50,300,0.077303,O3
50,300,0.077568,O3
50,300,0.078530,O3
50,300,0.077970,O3
50,300,0.078307,O3
50,300,0.077832,O3
50,300,0.077259,O3
50,300,0.076997,O3
50,300,0.077256,O3
50,300,0.077307,O3
50,300,0.077396,O3
50,300,0.077720,O3
50,300,0.078182,O3
50,300,0.077790,O3
50,300,0.077735,O3
50,300,0.078875,O3
50,300,0.077319,O3
50,300,0.077767,O3
50,300,0.077929,O3
50,300,0.078120,O3
50,300,0.077359,O3
50,400,0.102764,O3
50,400,0.103021,O3
50,400,0.104063,O3
50,400,0.103223,O3
50,400,0.103209,O3
50,400,0.103329,O3
50,400,0.102772,O3
50,400,0.102916,O3
50,400,0.102981,O3
50,400,0.103088,O3
50,400,0.103089,O3
50,400,0.102919,O3
50,400,0.103766,O3
50,400,0.102942,O3
50,400,0.102578,O3
50,400,0.102485,O3
50,400,0.102747,O3
50,400,0.102881,O3
50,400,0.103543,O3
50,400,0.103356,O3
50,400,0.102924,O3
50,400,0.103882,O3
50,400,0.103078,O3
50,400,0.102958,O3
50,400,0.103526,O3
50,400,0.103512,O3
50,400,0.102775,O3
50,400,0.105508,O3
50,400,0.103762,O3
50,400,0.103145,O3
50,500,0.128856,O3
50,500,0.128332,O3
50,500,0.128982,O3
50,500,0.128457,O3
50,500,0.129262,O3
50,500,0.129043,O3
50,500,0.128667,O3
50,500,0.128501,O3
50,500,0.128611,O3
50,500,0.129500,O3
50,500,0.128108,O3
50,500,0.129283,O3
50,500,0.128912,O3
50,500,0.129189,O3
50,500,0.129332,O3
50,500,0.129118,O3
50,500,0.129051,O3
50,500,0.128516,O3
50,500,0.128828,O3
50,500,0.128866,O3
50,500,0.129022,O3
50,500,0.128498,O3
50,500,0.128905,O3
50,500,0.129565,O3
50,500,0.128886,O3
50,500,0.129378,O3
50,500,0.128779,O3
50,500,0.128921,O3
50,500,0.128640,O3
50,500,0.129540,O3
50,600,0.154143,O3
50,600,0.153858,O3
50,600,0.154415,O3
50,600,0.154554,O3
50,600,0.154029,O3
50,600,0.154935,O3
50,600,0.154557,O3
50,600,0.154339,O3
50,600,0.153768,O3
50,600,0.153398,O3
50,600,0.154709,O3
50,600,0.154294,O3
50,600,0.154532,O3
50,600,0.154144,O3
50,600,0.153397,O3
50,600,0.154068,O3
50,600,0.154539,O3
50,600,0.154792,O3
50,600,0.153617,O3
50,600,0.154951,O3
50,600,0.154685,O3
50,600,0.154023,O3
50,600,0.153494,O3
50,600,0.153849,O3
50,600,0.154158,O3
50,600,0.155032,O3
50,600,0.154256,O3
50,600,0.154373,O3
50,600,0.154012,O3
50,600,0.155429,O3
50,700,0.180467,O3
50,700,0.179984,O3
50,700,0.179410,O3
50,700,0.178690,O3
50,700,0.179826,O3
50,700,0.178876,O3
50,700,0.180390,O3
50,700,0.180252,O3
50,700,0.179808,O3
50,700,0.180376,O3
50,700,0.179975,O3
50,700,0.179480,O3
50,700,0.180117,O3
50,700,0.178796,O3
50,700,0.178881,O3
50,700,0.179385,O3
50,700,0.179761,O3
50,700,0.179476,O3
50,700,0.179356,O3
50,700,0.179681,O3
50,700,0.179503,O3
50,700,0.179991,O3
50,700,0.179895,O3
50,700,0.179742,O3
50,700,0.179687,O3
50,700,0.179402,O3
50,700,0.180765,O3
50,700,0.178957,O3
50,700,0.179595,O3
50,700,0.179860,O3
50,800,0.205026,O3
50,800,0.205318,O3
50,800,0.206012,O3
50,800,0.204693,O3
50,800,0.204551,O3
50,800,0.204387,O3
50,800,0.204732,O3
50,800,0.204980,O3
50,800,0.206982,O3
50,800,0.205629,O3
50,800,0.205190,O3
50,800,0.205651,O3
50,800,0.205278,O3
50,800,0.204881,O3
50,800,0.204631,O3
50,800,0.205774,O3
50,800,0.205137,O3
50,800,0.205754,O3
50,800,0.204798,O3
50,800,0.204779,O3
50,800,0.206353,O3
50,800,0.204850,O3
50,800,0.205067,O3
50,800,0.206073,O3
50,800,0.204894,O3
50,800,0.205166,O3
50,800,0.204873,O3
50,800,0.205430,O3
50,800,0.205131,O3
50,800,0.205538,O3
50,900,0.231422,O3
50,900,0.232664,O3
50,900,0.230400,O3
50,900,0.230507,O3
50,900,0.231613,O3
50,900,0.229820,O3
50,900,0.231557,O3
50,900,0.231529,O3
50,900,0.232395,O3
50,900,0.232048,O3
50,900,0.230201,O3
50,900,0.230999,O3
50,900,0.232356,O3
50,900,0.230763,O3
50,900,0.231903,O3
50,900,0.230038,O3
50,900,0.231001,O3
50,900,0.232111,O3
50,900,0.230664,O3
50,900,0.231735,O3
50,900,0.230918,O3
50,900,0.230442,O3
50,900,0.231573,O3
50,900,0.230706,O3
50,900,0.230507,O3
50,900,0.230473,O3
50,900,0.230755,O3
50,900,0.231087,O3
50,900,0.230048,O3
50,900,0.230000,O3
50,1000,0.257202,O3
50,1000,0.256614,O3
50,1000,0.255950,O3
50,1000,0.255729,O3
50,1000,0.256604,O3
50,1000,0.255890,O3
50,1000,0.256279,O3
50,1000,0.256719,O3
50,1000,0.255346,O3
50,1000,0.256246,O3
50,1000,0.255851,O3
50,1000,0.255950,O3
50,1000,0.255796,O3
50,1000,0.256160,O3
50,1000,0.256717,O3
50,1000,0.256235,O3
50,1000,0.256394,O3
50,1000,0.256298,O3
50,1000,0.255386,O3
50,1000,0.256337,O3
50,1000,0.255513,O3
50,1000,0.256799,O3
50,1000,0.255277,O3
50,1000,0.256494,O3
50,1000,0.256688,O3
50,1000,0.256846,O3
50,1000,0.257120,O3
50,1000,0.257441,O3
50,1000,0.256074,O3
50,1000,0.257450,O3
50,2000,0.510982,O3
50,2000,0.511933,O3
50,2000,0.511713,O3
50,2000,0.511226,O3
50,2000,0.510821,O3
50,2000,0.511389,O3
50,2000,0.513216,O3
50,2000,0.510334,O3
50,2000,0.511470,O3
50,2000,0.512262,O3
50,2000,0.513651,O3
50,2000,0.511169,O3
50,2000,0.515171,O3
50,2000,0.511313,O3
50,2000,0.513041,O3
50,2000,0.512645,O3
50,2000,0.511294,O3
50,2000,0.511860,O3
50,2000,0.510716,O3
50,2000,0.511035,O3
50,2000,0.510308,O3
50,2000,0.510944,O3
50,2000,0.510644,O3
50,2000,0.511688,O3
50,2000,0.511479,O3
50,2000,0.510970,O3
50,2000,0.511284,O3
50,2000,0.511257,O3
50,2000,0.510508,O3
50,2000,0.511461,O3
50,3000,0.767886,O3
50,3000,0.767316,O3
50,3000,0.766823,O3
50,3000,0.765959,O3
50,3000,0.767366,O3
50,3000,0.766669,O3
50,3000,0.765980,O3
50,3000,0.768885,O3
50,3000,0.767019,O3
50,3000,0.766355,O3
50,3000,0.765890,O3
50,3000,0.767674,O3
50,3000,0.767668,O3
50,3000,0.766582,O3
50,3000,0.766694,O3
50,3000,0.766028,O3
50,3000,0.766987,O3
50,3000,0.765870,O3
50,3000,0.766380,O3
50,3000,0.767395,O3
50,3000,0.767584,O3
50,3000,0.768329,O3
50,3000,0.767581,O3
50,3000,0.766903,O3
50,3000,0.765784,O3
50,3000,0.767214,O3
50,3000,0.766574,O3
50,3000,0.766271,O3
50,3000,0.766570,O3
50,3000,0.767056,O3
50,4000,1.022552,O3
50,4000,1.021855,O3
